"","cow","cow_numerical","country","year","f41b","f41c","f41d","f41e","c14","a4aCIT","a4xCIT","a4aTCN","a4xTCN","f5a","f5b","b12_perm_1","b12_perm_1_name","b12_perm_2","b12_perm_2_name","b12_temp_1","b12_temp_1_name","b12_temp_2","b12_temp_2_name","b12_temp_3","b12_temp_3_name","b12_temp_4","b12_temp_4_name","b12_temp_5","b12_temp_5_name","b12_temp_6","b12_temp_6_name","b12_EUblue","b12_EUblue_name","f61b","f61c","f62b","f62c","a4a","a4x","b12mean","access","conseq","prevmeas","migsp_index"
"27","ARG",160,"Argentina",2006,"1","0","0","0","0",".d","1",".d","1","1","0",".5","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".5","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".i","1",".25",".5555556",".5",".75",".5892857"
"28","ARG",160,"Argentina",2007,"1","0","0","0","0",".d","1",".d","1","1","0",".5","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".5","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".i","1",".25",".5555556",".5",".75",".5892857"
"29","ARG",160,"Argentina",2008,"1","0","0","0","0",".d","1",".d","1","1","0",".5","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".5","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".i","1",".25",".5555556",".5",".75",".5892857"
"30","ARG",160,"Argentina",2009,".8",".5",".5","0","0",".5","1",".5","1","1","1",".5","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".5","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".5","1",".25",".6444445",".75",".75",".690625"
"31","ARG",160,"Argentina",2010,".8",".5",".5","0","0",".5",".7",".5",".7","1","1",".5","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".5","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".5",".7",".25",".6444445",".75",".55",".653125"
"32","ARG",160,"Argentina",2011,".8",".5",".5","0","0",".5",".7",".5",".7","1","1",".5","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".5","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".5",".7",".25",".6444445",".75",".55",".653125"
"33","ARG",160,"Argentina",2012,".8",".5",".5","0","0",".5",".7",".5",".7","1","1",".5","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".5","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".5",".7",".25",".6444445",".75",".55",".653125"
"34","ARG",160,"Argentina",2013,".8",".5",".5","0","0",".5",".7",".5",".7","1","1",".5","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".5","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".5",".7",".25",".6444445",".75",".55",".653125"
"35","ARG",160,"Argentina",2014,".8",".5",".5","0","0",".5",".7",".5",".7","1","1",".5","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".5","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".5",".7",".25",".6444445",".75",".55",".653125"
"36","ARG",160,"Argentina",2015,".8",".5",".5","0","0",".5",".7",".5",".7","1","1",".5","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".5","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".5",".7",".25",".6444445",".75",".55",".653125"
"37","ARG",160,"Argentina",2016,".8",".5",".5","0","0",".5",".7",".5",".7","1","1",".5","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".5","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".5",".7",".25",".6444445",".75",".55",".653125"
"38","ARG",160,"Argentina",2017,".8",".5",".5","0","0",".5",".7",".5",".7","1","1",".5","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".5","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".5",".7",".25",".6444445",".75",".55",".653125"
"39","ARG",160,"Argentina",2018,".8",".5",".5","0","0",".5",".7",".5",".7","1","1",".5","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".5","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".5",".7",".25",".6444445",".75",".55",".653125"
"40","AUL",900,"Australia",1980,".9","0",".5",".d",".d","1","1","1","1",".d","0","1","Permanent Worker Visas (Incl. Skilled Independent, Skilled Nomination, Employer Nomination Scheme, RSMS)",".m","",".d","Temporary Employer-Sponsored Visas (Including Specialist Subclass 413, Subclass 457 Temporary Work, TSS Subclass 482, Employer-Sponsored Regional Subclass 494)",".m","",".m","",".m","",".m","",".m","",".m","",".b",".b",".b",".b","1","1","1",".4666667",".6666667","1",".7111111"
